product_name,product_category,product_type,weight,fragility,fragility_score,current_material,cost_per_unit,co2_emission_kg,recyclability,biodegradability,durability,recommended_material,rec_co2,rec_cost,rec_recyclability,rec_biodegradability
safety equipment box,Industrial,safety equipment box,491.7,high,3.0,Steel (Tinplate),0.6796,1.4342,0.8468,0.0204,1.0,Recycled Cardboard,0.2458,0.295,0.92,0.82
vitamin bottle,Pharmaceuticals,vitamin bottle,247.2,medium,2.0,Cardboard,327.94,166.31,0.8526,,0.5296,Glass,0.2966,0.445,0.95,0.1
Face Cream Jar,Cosmetics,face cream jar,116.0,medium,2.0,Plastic (PET),0.0907,0.4457,0.7128,0.0509,0.8416,Glass,0.1392,0.2088,0.95,0.1
jeans_packaging,Fashion & Apparel,jeans packaging,433.5,,1.0,Cardboard,0.2222,0.3605,0.9076,0.7035,0.5087,Recycled Cardboard,0.2168,0.2601,0.92,0.82
deodorant stick,Cosmetics,deodorant stick,315.9,medium,2.0,Glass,0.58,0.3838,1.0,0.0986,,Recycled Aluminum,0.2527,0.7582,0.95,0.02
first aid kit,Pharmaceuticals,first aid kit,63.0,medium,2.0,Glass,,,0.9952,0.0959,,Recycled Cardboard,0.0315,0.0378,0.92,0.82
seed packet,Agriculture,seed packet,21622.3,low,,Kraft Paper,,15.5248,0.8474,0.9295,0.4425,Bamboo,6.4867,69.1914,0.6,0.95
foundation_bottle,Cosmetics,foundation bottle,93.8,,,Aluminum,0.2045,0.7937,0.9267,0.0212,0.9112,Recycled Plastic,0.1688,0.0938,0.9,0.1
ketchup bottle,Food & Beverage,ketchup bottle,269.5,low,1.0,Plastic (PET),0.21,1.04,,0.0511,,Bioplastic (PLA),0.2156,0.7547,0.3,0.85
Premium building blocks box,Toys & Games,building blocks box,,low,1.0,Plastic (PET),1.6408,7.349,0.689,0.0513,0.7709,Bamboo,0.5509,5.8763,0.6,0.95
watch box,Fashion & Apparel,watch box,0.356 kg,,2.0,Cardboard,0.1751,0.3316,0.9316,0.7639,0.547,Bamboo,0.1068,1.1394,0.6,0.95
Premium industrial tape roll,Industrial,industrial tape roll,,low,1.0,corrugated cardboard,1.0997,2.2588,0.9165,0.7804,0.5184,Steel (Tinplate),7.0565,3.293,0.88,0.02
milk jug,Food & Beverage,milk jug,1160.1,low,1.0,paperboard,0.6185,1.0273,0.8181,0.772,0.5297,Recycled Cardboard,0.5801,0.6961,0.92,0.82
rice_bag,Food & Beverage,rice bag,1385.9,low,1.0,Glass,2.5971,1.5773,0.9102,0.1028,0.8845,Recycled Cardboard,0.6929,0.8315,0.92,0.82
soil bag,Agriculture,soil bag,23033.1,,1.0,Cardboard,11.6365,20.0711,0.8959,0.7159,,Kraft Paper,16.1232,9.2132,0.85,0.88
shirt packaging,Fashion & Apparel,shirt packaging,712.6,medium,2.0,plastic PET,0.5601,2.6775,,0.0492,0.832,Bamboo,0.2138,2.2802,0.6,0.95
LEGO box,Toys & Games,LEGO box,1206.3,medium,2.0,Styrofoam (EPS),,3.9355,0.093,0.0092,0.6135,Recycled Plastic,2.1714,1.2063,0.9,0.1
gaming console box (imported),Electronics,gaming console box,,high,3.0,Plastic (PET),,7.871,0.7315,0.0487,0.7967,Recycled Cardboard,0.9774,1.1729,0.92,0.82
vegetable clamshell,Fresh Produce,vegetable clamshell,0.848 kg,high,3.0,Plastic (PET),0.647,2.9479,,0.0493,0.7903,Mycelium,0.0848,3.392,0.4,0.99
tie box,Fashion & Apparel,tie box,0.773 kg,,1.0,Cardboard,,0.6782,0.8699,0.7942,0.5553,Kraft Paper,0.5414,0.3094,0.85,0.88
industrial tape roll,Industrial,industrial tape roll,17.012 kg,medium,2.0,Wood,42.4288,8.7969,0.7062,0.75,0.8387,Steel (Tinplate),51.0353,23.8165,0.88,0.02
wire_coil_packaging,Industrial,wire coil packaging,8397.0,high,3.0,Wood,21.097,,0.7098,0.7666,,Recycled Aluminum,6.7176,20.1528,0.95,0.02
Premium melon wrap,Fresh Produce,melon wrap,1243.3,high,3.0,Kraft Paper,106.5,141.32,0.8721,0.9084,0.4625,Kraft Paper,0.8703,0.4973,0.85,0.88
bandage box,Pharmaceuticals,bandage box,,medium,2.0,Glass,0.246,0.1609,0.9515,0.0914,0.901,Glass,0.1705,0.2557,0.95,0.1
board game box,Toys & Games,board game box,2654.3,,2.0,Styrofoam (EPS),1.1174,8.9609,0.0996,0.0109,0.6258,Recycled Cardboard,1.3271,1.5926,0.92,0.82
eyeshadow palette (imported),Cosmetics,eyeshadow palette,321.4,,2.0,Glass,0.5418,0.3899,0.932,0.1045,0.9017,Recycled Plastic,0.5785,0.3214,0.9,0.1
canned soup,Food & Beverage,canned soup,1622.1,,1.0,Steel (Tinplate),,4.8415,0.913,0.0207,,Glass,1.9465,2.9198,0.95,0.1
power bank box,Electronics,power bank box,7194.4,medium,,Styrofoam (EPS),2.7945,24.3797,0.0996,0.01,0.6248,Recycled Cardboard,3.5972,4.3167,0.92,0.82
paint can,Industrial,paint can,9.923 kg,medium,2.0,Steel (Tinplate),14.024,31.3625,0.9214,0.019,0.9893,Recycled Aluminum,7.938,23.8141,0.95,0.02
shampoo bottle,Cosmetics,shampoo bottle,0.194 kg,high,3.0,Plastic (PET),0.1413,0.7382,0.7319,0.0474,0.8684,Recycled Plastic,0.3485,0.1936,0.9,0.1
picture frame box,Household,picture frame box,1249.9,low,1.0,Glass,2.3448,,0.9497,0.1059,0.8382,Bioplastic (PLA),0.9999,3.4997,0.3,0.85
apple tray,Fresh Produce,apple tray,1538.4,,2.0,Cardboard,0.8375,1.3398,0.8275,0.7845,0.5775,Bioplastic (PLA),1.2307,4.3075,0.3,0.85
nail polish bottle,Cosmetics,nail polish bottle,72.4,high,3.0,Plastic (HDPE),0.0471,0.2718,0.7936,,0.8083,Bamboo,0.0217,0.2318,0.6,0.95
remote control toy box,Toys & Games,remote control toy box,2487.6,low,1.0,Styrofoam (EPS),0.9598,,,0.0096,0.652,Bamboo,0.7463,7.9605,0.6,0.95
wire coil packaging,Industrial,wire coil packaging,15947.6,low,1.0,Wood,42.4242,8.1392,0.7015,0.8223,0.7425,Steel (Tinplate),47.8428,22.3266,0.88,0.02
frozen food box,Food & Beverage,frozen food box,808.1,low,,Cardboard,0.389,0.7265,0.7733,0.7832,0.5703,Glass,0.9697,1.4546,0.95,0.1
remote control toy box,Toys & Games,remote control toy box,2148.4,low,1.0,Cardboard,1.1028,,0.8873,0.6982,,Recycled Cardboard,1.0742,1.289,0.92,0.82
honey bottle,Food & Beverage,honey bottle,,low,,Steel (Tinplate),1.2389,2.4774,0.8711,0.0204,,Bioplastic (PLA),0.6881,2.4082,0.3,0.85
Inhaler Box,Pharmaceuticals,inhaler box,221.9,high,3.0,Glass,,0.2739,0.9588,0.1023,0.9768,Bioplastic (PLA),0.1775,0.6212,0.3,0.85
ointment tube,Pharmaceuticals,ointment tube,103.6,medium,2.0,Cardboard,0.0567,0.0975,0.8185,0.7711,0.5321,Recycled Cardboard,0.0518,0.0621,0.92,0.82
compost bag,Agriculture,compost bag,19950.8,,1.0,Cardboard,8.759,17.4325,0.8741,0.8034,0.5755,Bamboo,5.9852,63.8426,0.6,0.95
salad bag,Fresh Produce,salad bag,2603.0,high,3.0,corrugated cardboard,1.1937,2.5514,0.8569,0.7224,0.5698,Seaweed Film,0.1301,11.453,0.45,0.98
canned tuna,Food & Beverage,canned tuna,1386.5,low,1.0,Glass,2.6477,1.7911,0.9399,0.1075,0.9067,Recycled Plastic,2.4956,1.3865,0.9,0.1
cleaning spray,Household,cleaning spray,1833.5,low,1.0,Styrofoam (EPS),0.7141,6.6853,,0.0097,0.6067,Recycled Cardboard,0.9168,1.1001,0.92,0.82
building blocks box,Toys & Games,building blocks box,2181.6,medium,2.0,Plastic (PET),1.7127,,0.7822,0.049,0.809,Recycled Cardboard,1.0908,1.309,0.92,0.82
pesticide container,Agriculture,pesticide container,24361.8,low,1.0,Kraft Paper,9.4983,18.7195,0.805,0.9452,0.4942,Hemp Fiber,4.8724,82.8302,0.65,0.96
tie box - eco,Fashion & Apparel,tie box,604.2,low,1.0,Plastic (PET),0.5062,2.3153,0.738,0.0478,0.8297,Kraft Paper,0.423,0.2417,0.85,0.88
puzzle box,Toys & Games,puzzle box,2205.3,medium,2.0,Cardboard,1.0368,1.9771,0.9438,0.8178,0.5037,Recycled Plastic,3.9696,2.2053,0.9,0.1
battery packaging,Industrial,battery packaging,9019.8,low,1.0,Wood,22.5021,,0.7148,0.781,0.8494,Steel (Tinplate),27.0593,12.6277,0.88,0.02
inhaler box,Pharmaceuticals,inhaler box,0.039 kg,medium,2.0,high density PE,0.0281,0.137,,0.0485,0.8429,Glass,0.0462,0.0694,0.95,0.1
apple tray,Fresh Produce,apple tray,1385.8,medium,,Plastic (PET),433.91,87.51,,0.053,0.7761,Seaweed Film,0.0693,6.0975,0.45,0.98
Premium thermometer case,Pharmaceuticals,thermometer case,,high,3.0,Plastic (HDPE),0.1358,0.71,0.8284,0.0499,0.8475,Bioplastic (PLA),0.1669,0.5842,0.3,0.85
chemical drum,Industrial,chemical drum,,low,1.0,Plastic (HDPE),1.4532,6.1785,0.7441,0.0489,0.807,Recycled Cardboard,0.9642,1.1571,0.92,0.82
fruit net bag,Fresh Produce,fruit net bag,167.8,high,3.0,Cardboard,0.0804,0.1489,0.9283,0.7825,0.5363,Seaweed Film,0.0084,0.7381,0.45,0.98
ointment tube,Pharmaceuticals,ointment tube,92.3,high,3.0,Cardboard,0.0433,0.0825,0.8708,0.7181,0.534,Glass,0.1107,0.1661,0.95,0.1
pill box,Pharmaceuticals,pill box,96.6,high,3.0,Plastic (HDPE),0.0664,0.3249,0.6973,0.05,0.8883,Glass,0.116,0.1739,0.95,0.1
water bottle,Food & Beverage,water bottle,1026.7,medium,2.0,Glass,1.6351,,0.9329,0.1135,0.8896,Glass,1.232,1.848,0.95,0.1
lipstick case,Cosmetics,lipstick case,403.3,high,,Glass,0.7171,0.501,0.9012,0.1062,0.8566,Glass,0.4839,0.7259,0.95,0.1
compost bag,Agriculture,compost bag,18.598 kg,low,1.0,Cardboard,9.0145,15.6334,0.8784,0.7339,0.531,Kraft Paper,13.0185,7.4392,0.85,0.88
laptop box,Electronics,laptop box,2617.9,medium,2.0,Cardboard,1.2726,2.2827,0.852,0.7946,0.5891,Recycled Cardboard,1.3089,1.5707,0.92,0.82
card game box,Toys & Games,card game box,2449.6,low,1.0,Cardboard,1.1761,2.278,0.8382,0.6959,0.5367,Recycled Plastic,4.4094,2.4496,0.9,0.1
vegetable_clamshell,Fresh Produce,vegetable clamshell,1222.0,high,3.0,Plastic (PET),0.9483,4.62,0.6852,0.0498,0.8146,Kraft Paper,0.8554,0.4888,0.85,0.88
battery packaging,Industrial,battery packaging,239.4,medium,2.0,Plastic (HDPE),0.1779,0.8901,,0.0455,0.8259,Recycled Cardboard,0.1197,0.1437,0.92,0.82
Premium LEGO box,Toys & Games,LEGO box,2488.7,medium,2.0,Styrofoam (EPS),1.0279,8.5756,0.0921,0.0107,0.6414,Recycled Cardboard,1.2443,1.4932,0.92,0.82
smartwatch box,Electronics,smartwatch box,3626.1,high,3.0,Styrofoam (EPS),1.2903,11.2392,0.0988,0.0101,0.5984,Recycled Cardboard,1.813,2.1756,0.92,0.82
TV box,Electronics,TV box,1758.0,high,3.0,Cardboard,0.9251,1.5409,0.849,0.6972,0.5072,Hemp Fiber,0.3516,5.9773,0.65,0.96
DEODORANT STICK,Premium cosmetics,deodorant stick,0.127 kg,medium,2.0,Plastic (PET),0.1065,0.4321,0.7308,0.0481,0.8759,Recycled Aluminum,0.1016,0.3047,0.95,0.02
plate packaging (imported),Household,plate packaging,0.1 kg,medium,2.0,Glass,0.1774,0.1264,0.9388,0.098,0.8759,Bioplastic (PLA),0.0799,0.2795,0.3,0.85
jeans packaging,Fashion & Apparel,jeans packaging,820.7,medium,,corrugated cardboard,0.3855,0.7839,0.8993,0.6986,0.5793,Recycled Cardboard,0.4103,0.4924,0.92,0.82
seed packet,Agriculture,seed packet,5774.6,,1.0,Kraft Paper,2.2972,3.7038,0.8515,0.8871,0.4806,Bamboo,1.7324,18.4786,0.6,0.95
ointment tube - eco,pharmaceuticals,ointment tube,58.4,medium,2.0,Glass,0.1003,0.0713,0.9603,0.0949,0.9495,Recycled Cardboard,0.0292,0.0351,0.92,0.82
baby toy packaging,Toys & Games,baby toy packaging,949.8,medium,2.0,Styrofoam (EPS),0.3574,3.1735,0.0987,0.0105,0.6239,Recycled Cardboard,0.4749,0.5699,0.92,0.82
shoe box,Fashion & Apparel,shoe box,280.6,medium,2.0,Cardboard,0.1371,0.2515,0.9192,0.7272,0.5445,Kraft Paper,0.1965,0.1123,0.85,0.88
paper towel wrap,Household,paper towel wrap,3805.4,high,3.0,Styrofoam (EPS),1.659,12.3813,0.1032,0.0097,,Recycled Cardboard,1.9027,2.2832,0.92,0.82
melon wrap,Fresh Produce,melon wrap,1228.0,high,,Kraft Paper,0.5099,0.7815,0.846,0.8985,0.4306,Kraft Paper,0.8596,0.4912,0.85,0.88
medicine bottle,Pharmaceuticals,medicine bottle,231.4,high,3.0,Glass,0.4431,0.2814,0.9848,0.1014,0.8255,Bioplastic (PLA),0.1851,0.648,0.3,0.85
lubricant container,Industrial,lubricant container,9.031 kg,low,1.0,Cardboard,4.6441,8.3276,0.8886,0.7463,0.562,Steel (Tinplate),27.0928,12.6433,0.88,0.02
eye drops bottle,Pharmaceuticals,eye drops bottle,143.2,medium,2.0,Cardboard,0.0706,0.1393,0.95,0.7755,0.5462,Bioplastic (PLA),0.1145,0.4009,0.3,0.85
paper towel wrap,Household,paper towel wrap,205.2,medium,2.0,Glass,0.346,0.2416,0.942,0.103,0.8457,Recycled Cardboard,0.1026,0.1231,0.92,0.82
pasta_box,Food & Beverage,pasta box,835.1,low,1.0,Plastic (PET),0.6552,3.2248,0.6956,0.0515,0.8412,Recycled Plastic,1.5032,0.8351,0.9,0.1
jewelry box,Fashion & Apparel,jewelry box,0.253 kg,low,1.0,Cardboard,0.1281,0.2331,0.9232,0.8125,0.5779,Bamboo,0.0759,0.8097,0.6,0.95
shoe box,Fashion & Apparel,shoe box,1337.9,low,1.0,Wood,3.407,0.6243,0.7046,0.7818,0.8407,Recycled Cardboard,0.669,0.8028,0.92,0.82
inhaler box,Pharmaceuticals,inhaler box,180.0,high,3.0,Glass,0.333,0.2303,0.9717,0.1108,0.871,Bioplastic (PLA),0.144,0.504,0.3,0.85
conditioner bottle,Cosmetics,conditioner bottle,0.335 kg,medium,2.0,Glass,0.6796,0.3906,0.9232,0.1009,0.9694,Bioplastic (PLA),0.2678,0.9373,0.3,0.85
energy drink,Food & Beverage,energy drink,783.6,low,1.0,Steel (Tinplate),1.1397,2.4926,0.9005,0.0215,,Recycled Cardboard,0.3918,0.4702,0.92,0.82
melon wrap,Fresh Produce,melon wrap,1030.4,high,3.0,Cardboard,0.5346,0.8457,0.8968,0.7984,0.5685,Mycelium,0.103,4.1215,0.4,0.99
body lotion bottle,Cosmetics,body lotion bottle,474.0,high,3.0,Glass,0.8375,0.5763,0.9568,0.0911,0.9184,Recycled Aluminum,0.3792,1.1377,0.95,0.02
puzzle box,Toys & Games,puzzle box,0.15 kg,medium,,Plastic (PET),0.1144,0.5443,0.696,,0.7925,Recycled Cardboard,0.075,0.09,0.92,0.82
eyeshadow palette,Cosmetics,eyeshadow palette,57.5,medium,2.0,Plastic (HDPE),0.0454,0.1964,0.7485,0.0465,0.8443,Bioplastic (PLA),0.046,0.161,0.3,0.85
perfume bottle,Cosmetics,perfume bottle,202.3,high,3.0,Aluminum,0.4341,,0.884,0.0192,0.8659,Glass,0.2428,0.3642,0.95,0.1
Camera Box,Electronics,camera box,3726.2,medium,2.0,Plastic (PET),3.2917,14.6603,0.6837,0.0492,,Recycled Cardboard,1.8631,2.2357,0.92,0.82
handbag packaging,Fashion & Apparel,handbag packaging,1454.7,low,1.0,Plastic (PET),1.0068,5.4523,0.718,0.0494,0.8278,Bamboo,0.4364,4.6549,0.6,0.95
light bulb box,Household,light bulb box,1891.2,low,1.0,Styrofoam (EPS),0.7036,6.8864,0.106,,0.6251,Glass,2.2695,3.4042,0.95,0.1
face cream jar,Cosmetics,face cream jar,49.3,medium,2.0,Glass,0.0896,0.0583,1.0,0.095,0.9513,Recycled Aluminum,0.0395,0.1184,0.95,0.02
jam jar,Food & Beverage,jam jar,1628.9,,2.0,Cardboard,0.8266,1.7001,0.8469,0.734,0.5816,Recycled Plastic,2.9321,1.6289,0.9,0.1
gaming console box,Electronics,gaming console box,7004.2,medium,2.0,Cardboard,3.3492,6.2358,0.9188,0.777,0.5248,Mycelium,0.7004,28.0168,0.4,0.99
perfume bottle,Cosmetics,perfume bottle,406.5,high,3.0,Plastic (HDPE),0.2903,1.3535,,0.0516,0.8473,Glass,0.4878,0.7317,0.95,0.1
bandage box,Pharmaceuticals,bandage box,219.2,medium,2.0,Plastic (HDPE),0.1635,0.7558,0.762,0.0505,0.796,Glass,0.263,0.3945,0.95,0.1
accessory pouch,Fashion & Apparel,accessory pouch,1071.9,medium,2.0,Cardboard,0.5062,0.9272,0.9571,0.7851,0.585,Bamboo,0.3216,3.43,0.6,0.95
compost bag,Agriculture,compost bag,7284.7,low,1.0,Kraft Paper,3.2265,5.0393,0.7843,0.7928,0.4163,Bamboo,2.1854,23.3112,0.6,0.95
mouse box,Electronics,mouse box,1602.5,high,3.0,Plastic (PET),1.2672,5.8584,0.6867,0.0522,0.8414,Recycled Cardboard,0.8012,0.9615,0.92,0.82
Power Bank Box,Electronics,power bank box,7523.3,high,3.0,Plastic (PET),5.5924,29.821,0.6786,0.0429,0.7676,Mycelium,0.7523,30.0932,0.4,0.99
tool packaging,Industrial,tool packaging,8319.9,low,1.0,Cardboard,3.8256,8.2702,0.8881,,0.5502,Recycled Aluminum,6.6559,19.9678,0.95,0.02
vegetable clamshell,Fresh Produce,vegetable clamshell,,high,3.0,Plastic (PET),0.2973,1.2563,0.7252,0.0432,0.8136,Seaweed Film,0.0171,1.5077,0.45,0.98
mascara_tube,cosmetics - eco,mascara tube,457.6,medium,2.0,Aluminum,0.9881,3.9101,0.7863,0.0196,0.9007,Bamboo,0.1373,1.4643,0.6,0.95
power bank box,Electronics,power bank box,2.401 kg,medium,2.0,Styrofoam (EPS),0.9892,8.5233,0.1004,0.0099,0.5714,Bamboo,0.7202,7.6825,0.6,0.95
egg carton,Food & Beverage,egg carton,1959.1,low,1.0,Plastic (PET),1.5913,7.6449,0.6841,0.0513,0.8345,Recycled Plastic,3.5265,1.9591,0.9,0.1
syrup bottle,Pharmaceuticals,syrup bottle,49.6,high,3.0,Glass,0.0902,0.0608,0.9629,0.0936,0.8514,Recycled Cardboard,0.0248,0.0298,0.92,0.82
pesticide_container,Agriculture,pesticide container,0.354 kg,low,1.0,Cardboard,0.1891,0.3678,0.8252,0.7587,0.5333,Kraft Paper,0.2479,0.1417,0.85,0.88
serum bottle,Cosmetics,serum bottle,200.6,high,3.0,Glass,403.65,74.46,0.9558,0.0994,0.8415,Recycled Plastic,0.361,0.2006,0.9,0.1
LUBRICANT CONTAINER,Industrial,lubricant container,1000.5,high,3.0,Steel (Tinplate),1.4882,3.0598,0.8214,0.0197,0.9325,Steel (Tinplate),3.0015,1.4007,0.88,0.02
smartphone box,Electronics,smartphone box,6251.5,high,3.0,Cardboard,3.0521,5.1511,0.7931,0.7782,0.4932,Hemp Fiber,1.2503,21.2549,0.65,0.96
vegetable clamshell,Fresh Produce,vegetable clamshell,1981.7,medium,2.0,Kraft Paper,0.8314,1.2981,0.7605,0.9308,0.4812,Bioplastic (PLA),1.5853,5.5487,0.3,0.85
pesticide container,Agriculture,pesticide container,21191.9,low,,Cardboard,10.046,21.7237,0.8204,0.7775,0.4929,Bioplastic (PLA),16.9535,59.3372,0.3,0.85
inhaler box,Pharmaceuticals,inhaler box,,,3.0,HDPE,0.0389,0.2069,0.7498,0.052,0.842,Recycled Cardboard,0.0292,0.0351,0.92,0.82
garden tool box,Agriculture,garden tool box,6563.6,,1.0,Plastic (HDPE),4.6886,20.9707,0.7396,0.0503,0.8695,Kraft Paper,4.5945,2.6254,0.85,0.88
compost bag,Agriculture,compost bag,,low,1.0,Kraft Paper,3.3994,5.5223,0.8294,0.922,0.4491,Bamboo,2.382,25.4082,0.6,0.95
tool packaging,Industrial,tool packaging,11449.8,medium,2.0,Wood,32.3817,,0.7006,,0.8794,Recycled Cardboard,5.7249,6.8699,0.92,0.82
deodorant stick,Cosmetics,deodorant stick,310.4,medium,2.0,Aluminum,0.6293,2.6737,0.9697,0.02,1.0,Recycled Aluminum,0.2483,0.745,0.95,0.02
conditioner bottle (imported),Cosmetics,conditioner bottle,426.0,medium,2.0,Plastic (HDPE),0.2966,1.4319,0.7112,0.0486,0.7991,Glass,0.5112,0.7668,0.95,0.1
mushroom tray,Fresh Produce,mushroom tray,236.9,high,3.0,Kraft Paper,0.1057,0.167,,0.8885,0.443,Bioplastic (PLA),0.1895,0.6632,0.3,0.85
apple tray,Fresh Produce,apple tray,,,,Cardboard,1.1832,,0.9691,0.6989,0.5552,Kraft Paper,1.6191,0.9252,0.85,0.88
cleaning spray,Household,cleaning spray,3401.6,low,1.0,Styrofoam (EPS),1.3692,11.7773,0.0976,,0.5732,Recycled Cardboard,1.7008,2.0409,0.92,0.82
lubricant container,industrial,lubricant container,15148.3,high,3.0,Cardboard,7.2123,13.5463,0.8093,0.7576,0.5292,Recycled Cardboard,7.5742,9.089,0.92,0.82
pesticide container,Agriculture,pesticide container,21402.2,low,1.0,Plastic (HDPE),15.2234,,0.7477,0.0513,,Kraft Paper,14.9815,8.5609,0.85,0.88
Premium seed packet,Agriculture,seed packet,12455.4,low,1.0,kraft,4.9885,8.7783,0.8195,0.9156,0.4619,Hemp Fiber,2.4911,42.3483,0.65,0.96
melon wrap,Fresh Produce,melon wrap,2838.5,medium,2.0,Cardboard,1.4496,2.4201,0.8051,0.7289,0.5409,Mycelium,0.2839,11.3541,0.4,0.99
cutlery set box,Household,cutlery set box,2364.7,medium,2.0,Styrofoam (EPS),0.9214,7.8,0.1011,,0.5476,Recycled Plastic,4.2565,2.3647,0.9,0.1
berry punnet,Fresh Produce,berry punnet,0.428 kg,medium,2.0,Kraft Paper,,0.3122,0.822,0.8666,0.4197,Kraft Paper,0.2998,0.1713,0.85,0.88
shirt packaging,Fashion & Apparel,shirt packaging,1264.1,low,1.0,Plastic (PET),1.0974,4.4987,0.7273,0.0541,0.7707,Recycled Cardboard,0.632,0.7585,0.92,0.82
perfume bottle,Cosmetics,perfume bottle,208.3,high,3.0,Aluminum,0.4556,1.7297,0.9299,0.0216,0.9968,Recycled Plastic,0.375,0.2083,0.9,0.1
compost bag,Agriculture,compost bag,5209.3,low,1.0,Kraft Paper,1.9446,3.6789,0.8662,0.9069,0.4626,Bioplastic (PLA),4.1675,14.5862,0.3,0.85
Mascara Tube,Cosmetics,mascara tube,64.7,medium,2.0,Glass,0.1158,0.0739,0.9544,0.0943,1.0,Bioplastic (PLA),0.0518,0.1812,0.3,0.85
Deodorant Stick,Cosmetics,deodorant stick,0.108 kg,high,3.0,alum,0.2471,0.852,0.9959,0.0211,0.9153,Recycled Aluminum,0.0862,0.2585,0.95,0.02
plate_packaging,Premium household,plate packaging,1386.3,medium,2.0,Plastic (HDPE),0.9711,5.0293,0.7142,0.049,0.8792,Bioplastic (PLA),1.109,3.8816,0.3,0.85
frozen food box,Food & Beverage,frozen food box,65.5,low,1.0,Steel (Tinplate),0.0871,0.1925,0.9086,0.0209,0.9586,Kraft Paper,0.0458,0.0262,0.85,0.88
remote control toy box,Toys & Games,remote control toy box,1145.4,medium,2.0,Cardboard,0.5815,1.1166,0.9058,0.803,0.5623,Bamboo,0.3436,3.6654,0.6,0.95
Premium hard drive box,Electronics,hard drive box,5063.3,high,3.0,Cardboard,2.3981,4.209,0.8856,0.7131,0.5282,Bamboo,1.519,16.2026,0.6,0.95
plant pot,Agriculture,plant pot,23800.8,low,1.0,Plastic (HDPE),17.7118,75.918,0.716,0.0484,,Bamboo,7.1402,76.1627,0.6,0.95
vegetable clamshell,Fresh Produce,vegetable clamshell,1743.6,high,3.0,Cardboard,0.9532,1.61,0.8985,0.7604,0.5502,Bioplastic (PLA),1.3948,4.882,0.3,0.85
seed_packet,Agriculture,seed packet,20859.4,low,1.0,paper bag,,15.3299,0.8823,0.8672,0.4487,Hemp Fiber,4.1719,70.9219,0.65,0.96
PLANT POT,Agriculture,plant pot,,low,,Cardboard,9.3874,16.2539,0.8223,0.7351,,Hemp Fiber,3.6845,62.6365,0.65,0.96
USB cable box,Electronics,USB cable box,2250.2,high,3.0,Cardboard,1.1317,2.1071,0.8234,0.783,0.5106,Bamboo,0.6751,7.2006,0.6,0.95
salad bag,Fresh Produce,salad bag,2286.8,high,3.0,Cardboard,1.1185,1.9161,0.8687,0.7474,0.569,Kraft Paper,1.6008,0.9147,0.85,0.88
paper towel wrap,Household,paper towel wrap,2091.1,medium,2.0,Styrofoam (EPS),0.8131,7.1061,0.0979,0.0095,0.5991,Bioplastic (PLA),1.6729,5.8552,0.3,0.85
plant pot,Agriculture,plant pot,10999.8,low,1.0,Kraft Paper,4.2169,7.3472,0.8471,0.8485,0.4653,Bioplastic (PLA),8.7999,30.7996,0.3,0.85
action figure box,Toys & Games,action figure box,2.702 kg,low,1.0,Styrofoam (EPS),0.9774,,0.1033,0.0096,0.6092,Bamboo,0.8106,8.6466,0.6,0.95
soil bag,Agriculture,soil bag,,low,1.0,Plastic (HDPE),3.1494,14.4454,0.8123,0.0489,0.8244,Kraft Paper,2.8931,1.6532,0.85,0.88
herb packaging,Fresh Produce,herb packaging,2012.8,medium,2.0,Kraft Paper,0.8295,1.628,0.8422,0.9035,0.47,Mycelium,0.2013,8.0511,0.4,0.99
hard drive box,Electronics,hard drive box,6620.5,medium,2.0,Cardboard,,5.376,0.8894,0.7156,0.5976,Hemp Fiber,1.3241,22.5098,0.65,0.96
battery packaging,Industrial,battery packaging,9473.9,,3.0,carton board,4.5465,8.7949,0.9194,0.7263,0.557,Steel (Tinplate),28.4217,13.2635,0.88,0.02
fertilizer bag,agriculture (imported),fertilizer bag,15279.2,low,1.0,Plastic (HDPE),11.3573,52.4143,0.7642,0.0476,0.8368,Hemp Fiber,3.0558,51.9493,0.65,0.96
industrial tape roll,Industrial,industrial tape roll,4057.2,low,1.0,Plastic (HDPE),2.8506,15.2654,0.7885,0.0566,0.8754,Recycled Cardboard,2.0286,2.4343,0.92,0.82
vegetable clamshell,Fresh Produce,vegetable clamshell,153.8,medium,2.0,Kraft Paper,0.0609,0.1014,0.9379,0.7994,0.4263,Mycelium,0.0154,0.6153,0.4,0.99
baby toy packaging,Toys & Games,baby toy packaging,2678.5,medium,2.0,Cardboard,1.43,2.2213,0.8531,0.7689,0.507,Recycled Plastic,4.8214,2.6785,0.9,0.1
medicine bottle,Pharmaceuticals,medicine bottle,33.4,,2.0,Plastic (HDPE),0.0218,0.1161,0.7722,0.0482,0.8417,Bioplastic (PLA),0.0267,0.0936,0.3,0.85
body lotion bottle,Cosmetics,body lotion bottle,58.2,medium,2.0,Plastic (HDPE),0.0401,0.2022,0.7109,0.0471,0.8697,Glass,0.0698,0.1048,0.95,0.1
milk jug,Food & Beverage,milk jug,1628.6,medium,,Aluminum,3.7159,14.4498,0.9235,0.0184,0.9383,Glass,1.9544,2.9315,0.95,0.1
ketchup bottle,Food & Beverage,ketchup bottle,151.4,medium,2.0,Glass,0.2612,0.1843,,0.0959,0.852,Kraft Paper,0.106,0.0606,0.85,0.88
nail polish bottle,Cosmetics,nail polish bottle,,high,3.0,Plastic (HDPE),0.1508,0.7073,0.8206,0.0534,,Glass,0.2525,0.3787,0.95,0.1
